time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-02-06 00:00:00+00:00,11,4,0,0
2026-02-07 00:00:00+00:00,15,8,0,0
2026-02-08 00:00:00+00:00,13,6,0,0
2026-02-09 00:00:00+00:00,21,7,0,0
2026-02-10 00:00:00+00:00,10,3,0,0
2026-02-11 00:00:00+00:00,7,3,0,0
2026-02-12 00:00:00+00:00,30,9,0,0
2026-02-13 00:00:00+00:00,16,6,0,0
2026-02-14 00:00:00+00:00,21,7,0,0
2026-02-15 00:00:00+00:00,12,5,1,1
2026-02-16 00:00:00+00:00,11,5,0,0
2026-02-17 00:00:00+00:00,15,5,0,0
2026-02-18 00:00:00+00:00,17,7,2,1
2026-02-19 00:00:00+00:00,11,5,1,1
